番号,品目,図番,品名,列1,列2,列3
213,45TN10111015400,【R】TU101N-11015-400,ｲﾝﾅｰﾌﾚｰﾑASSY(TU101N),,,
214,45TN10131801500,【R】TU101N-31801-500,SPﾘﾝｸ(TU101N),,,
215,45TN101411015B0,【R】TU101N-41101-5B0,ﾃｰﾌﾞﾙﾌﾚｰﾑF(TU101N),,,
,TU301,,,,,
216,45T301+110014C0,【R】TU301+-11001-4C0,ｲﾝﾅｰﾌﾚｰﾑASSY (TU301+),,,
217,45T301+1101440000S10,【R】TU301+-S10-11014-400,ｲﾝﾅｰﾌﾚｰﾑASSY (TU301+-S10),,,
218,45T301+12009500,【R】TU301+-12009-500,ﾊﾞﾙﾌﾞﾕﾆｯﾄ取付板 (TU301+),,,
219,45T301+1500650000S10,【R】TU301+-S10-15006-500,ﾕﾆｯﾄ制御盤(TU301+-S10),,,
220,45T301+15007502,TU301+-15007-502,ﾕﾆｯﾄ制御盤(TU301+),,,
221,45T301+15043500,【R】TU301+-15043-500,ｺﾈｸﾀｰｶﾊﾞｰ (TU301+),,,
222,45T301+17232501,【R】TU301+-17232-501,ﾌｨﾙﾀｰｹｰｽ取付板 (TU301+),,,
223,45T301+17601500,【R】TU301+-17601-500,ｼｬｯﾄｵﾌﾊﾞﾙﾌﾞ取付板 (TU301+),,,
224,45TU30111006500,【R】TU301-11006-500,ﾕﾆｯﾄﾊﾟﾈﾙﾌﾞﾗｹｯﾄ(TU301),,,
225,45TU30111010500,【R】TU301-11010-500,ｼﾞｮｲﾝﾄﾌﾞﾗｹｯﾄ(TU301),,,
226,45TU301110325A0,【R】TU301-11032-5A0,ﾕﾆｯﾄｻｲﾄﾞｶﾊﾞｰ取付板A(TU301),,,
227,45TU30111054501,【R】TU301-11054-501,ﾕﾆｯﾄｻｲﾄﾞｶﾊﾞｰ取付板B (TU301),,,
228,45TU30112008501,【R】TU301-12008-501,ｱｼｽﾄﾌﾟﾚｰﾄ(TU301),,,
229,45TU3011201350000S15,【R】TU301-S15-12013-500,ｱｼｽﾄﾌﾟﾚｰﾄ(TU301-S15),,,
230,45TU30112403500,【R】TU301-12403-500,ｳｫｰﾏｰｶﾊﾞｰ上(TU301),,,
